tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-04-25 12:04:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	2.0	319.4		g	-42.7	4.66e-05	6	1	1.33e-06	7.82e-07	7.25e-07	u	273	0	0	0.00	-90.00	623.0
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-04-26 08:59:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	2.0	318.7		g	-43.0	4.06e-05	7	1	1.10e-06	7.47e-07	5.60e-07	u	273	0	0	0.00	-90.00	673.0
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-04-26 16:29:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	3.0	318.4		g	-42.8	3.54e-05	8	1	1.44e-06	1.12e-06	4.96e-07	u	273	0	0	0.00	-90.00	723.0
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-02 13:22:33	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.9	318.8		g	-42.9	3.13e-05	9	1	7.63e-07	7.01e-07	2.86e-07	u	273	0	0	0.00	-90.00	748.0
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-02 19:45:33	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.3	320.3		g	-42.9	2.79e-05	10	1	4.49e-07	3.70e-07	3.96e-07	u	273	0	0	0.00	-90.00	773.0
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-03 18:38:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.7	319.2		g	-42.7	2.34e-05	11	1	5.45e-07	3.91e-07	2.43e-07	u	273	0	0	0.00	-90.00	798.0
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-12 14:19:00	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.8	320.0		g	-42.8	1.74e-05	12	1	4.28e-07	2.88e-07	2.19e-07	u	273	0	0	0.00	-90.00	823.0
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-16 11:59:52	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.9	319.2		g	-42.7	1.30e-05	13	1	3.45e-07	2.21e-07	1.78e-07	u	273	0	0	0.00	-90.00	833.0
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-16 18:00:23	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	3.6	318.2		g	-42.6	1.00e-05	14	1	4.80e-07	4.08e-07	1.32e-07	u	273	0	0	0.00	-90.00	843.0
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-17 14:18:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	2.7	320.4		g	-42.7	8.21e-06	15	1	3.05e-07	2.39e-07	1.11e-07	u	273	0	0	0.00	-90.00	848.0
This study	Agate Point	AP1-6	AP1-6	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-18 11:10:25	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.7	321.7		g	-42.6	7.15e-06	16	1	1.68e-07	1.13e-07	8.19e-08	u	273	0	0	0.00	-90.00	853.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-04-08 16:23:24	LT-NO:LP-DIR-T	pmagpy-3.4.1	1.6	319.1		g	-40.2	6.18e-05	1	1	1.51e-06	8.14e-07	6.28e-07	u	273	0	0	0.00	-90.00	273
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-04-11 16:41:07	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	2.2	318.1		g	-39.6	5.81e-05	2	1	1.81e-06	1.45e-06	3.88e-07	u	273	0	0	0.00	-90.00	77
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-04-18 09:26:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.5	320.7		g	-40.1	5.80e-05	3	1	1.29e-06	8.08e-07	5.72e-07	u	273	0	0	0.00	-90.00	373.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-04-18 16:42:22	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.5	320.8		g	-39.9	5.92e-05	4	1	1.28e-06	8.02e-07	6.33e-07	u	273	0	0	0.00	-90.00	473.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-04-19 12:29:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	2.4	321.0		g	-39.9	5.70e-05	5	1	1.87e-06	1.47e-06	5.03e-07	u	273	0	0	0.00	-90.00	573.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-04-25 12:05:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.9	320.6		g	-39.7	4.94e-05	6	1	1.33e-06	7.57e-07	7.93e-07	u	273	0	0	0.00	-90.00	623.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-04-26 09:00:56	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.6	321.1		g	-39.7	4.49e-05	7	1	9.93e-07	5.69e-07	6.61e-07	u	273	0	0	0.00	-90.00	673.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-04-26 16:30:46	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	3.0	321.2		g	-39.7	3.99e-05	8	1	1.60e-06	1.21e-06	6.09e-07	u	273	0	0	0.00	-90.00	723.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-02 13:24:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.4	320.9		g	-39.5	3.63e-05	9	1	5.95e-07	5.90e-07	3.48e-07	u	273	0	0	0.00	-90.00	748.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-02 19:47:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.4	323.4		g	-39.6	3.28e-05	10	1	6.03e-07	3.87e-07	4.62e-07	u	273	0	0	0.00	-90.00	773.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-03 18:40:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.4	321.1		g	-39.6	2.69e-05	11	1	5.10e-07	3.09e-07	3.24e-07	u	273	0	0	0.00	-90.00	798.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-12 14:20:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.5	321.0		g	-39.9	1.74e-05	12	1	3.13e-07	2.50e-07	2.68e-07	u	273	0	0	0.00	-90.00	823.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-16 12:01:28	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.8	319.7		g	-40.0	1.13e-05	13	1	2.78e-07	1.59e-07	1.68e-07	u	273	0	0	0.00	-90.00	833.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-16 18:01:59	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	2.4	320.2		g	-39.9	7.78e-06	14	1	2.62e-07	1.79e-07	1.16e-07	u	273	0	0	0.00	-90.00	843.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-17 14:19:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.6	322.5		g	-39.7	5.99e-06	15	1	1.38e-07	7.31e-08	9.12e-08	u	273	0	0	0.00	-90.00	848.0
This study	Agate Point	AP1-7	AP1-7	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-18 11:12:02	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.4	322.2		g	-39.8	5.05e-06	16	1	9.46e-08	5.93e-08	6.88e-08	u	273	0	0	0.00	-90.00	853.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-04-08 16:24:57	LT-NO:LP-DIR-T	pmagpy-3.4.1	1.5	327.9		g	-41.4	6.20e-05	1	1	1.12e-06	1.06e-06	6.71e-07	u	273	0	0	0.00	-90.00	273
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-04-11 16:42:43	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	1.3	329.7		g	-41.4	5.90e-05	2	1	1.02e-06	8.59e-07	5.79e-07	u	273	0	0	0.00	-90.00	77
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-04-18 09:28:15	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.8	327.0		g	-41.6	5.86e-05	3	1	1.03e-06	1.40e-06	5.99e-07	u	273	0	0	0.00	-90.00	373.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-04-18 16:43:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.5	327.9		g	-41.0	5.97e-05	4	1	1.03e-06	1.19e-06	4.56e-07	u	273	0	0	0.00	-90.00	473.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-04-19 12:30:49	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	0.9	329.1		g	-40.8	5.72e-05	5	1	7.29e-07	5.94e-07	4.62e-07	u	273	0	0	0.00	-90.00	573.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-04-25 12:07:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.4	329.3		g	-40.9	4.89e-05	6	1	8.82e-07	6.83e-07	7.28e-07	u	273	0	0	0.00	-90.00	623.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-04-26 09:02:28	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.3	328.9		g	-40.9	4.36e-05	7	1	7.35e-07	5.38e-07	5.75e-07	u	273	0	0	0.00	-90.00	673.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-04-26 16:32:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.6	327.4		g	-40.7	3.93e-05	8	1	8.66e-07	6.60e-07	5.03e-07	u	273	0	0	0.00	-90.00	723.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-02 13:25:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.5	328.7		g	-40.6	3.61e-05	9	1	5.62e-07	6.84e-07	3.63e-07	u	273	0	0	0.00	-90.00	748.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-02 19:48:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.3	330.7		g	-40.7	3.32e-05	10	1	5.32e-07	4.49e-07	4.43e-07	u	273	0	0	0.00	-90.00	773.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-03 18:41:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.4	329.4		g	-40.5	2.87e-05	11	1	4.39e-07	5.50e-07	3.10e-07	u	273	0	0	0.00	-90.00	798.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-12 14:22:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.4	328.3		g	-40.5	2.09e-05	12	1	3.83e-07	2.87e-07	2.98e-07	u	273	0	0	0.00	-90.00	823.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-16 12:03:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.4	328.9		g	-40.4	1.37e-05	13	1	2.83e-07	1.67e-07	1.83e-07	u	273	0	0	0.00	-90.00	833.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-16 18:03:32	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.6	329.8		g	-40.3	8.39e-06	14	1	1.96e-07	1.09e-07	1.11e-07	u	273	0	0	0.00	-90.00	843.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-17 14:21:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.5	330.3		g	-39.9	5.95e-06	15	1	9.29e-08	1.16e-07	8.00e-08	u	273	0	0	0.00	-90.00	848.0
This study	Agate Point	AP1-8	AP1-8	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-18 11:13:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.7	329.7		g	-40.0	4.81e-06	16	1	7.97e-08	1.17e-07	5.05e-08	u	273	0	0	0.00	-90.00	853.0
